datetime,open,high,low,close,volume
2021-04-29,912.90002,912.90002,823.65002,859.34998,124
2021-04-30,849.15002,887.40002,846.34497,854.25,46
2021-05-03,861.90002,876.94501,831.29999,844.049988,109
2021-05-04,826.20001,899.13000,824.92499,877.20001,391
2021-05-05,864.45001,953.70001,790.5,841.5,461
2021-05-06,828.75,836.40002,777.75,782.84998,195
2021-05-07,775.20001,850.16998,775.20001,787.95001,120
2021-05-10,813.45001,915.45001,793.049988,803.25,417
2021-05-11,770.099976,787.95001,744.59998,770.099976,224
2021-05-12,757.34998,782.84998,739.5,752.25,180
2021-05-13,780.29999,1173,780.29999,874.65002,199379
2021-05-14,846.59998,918,795.59998,905.25,5405
2021-05-17,889.95001,943.5,872.099976,940.95001,1496
2021-05-18,979.20001,1032.75,892.5,966.45001,1988
2021-05-19,984.29999,984.29999,842.26501,859.34998,727
2021-05-20,851.70001,981.75,851.70001,935.84998,795
2021-05-21,935.84998,951.15002,848.89502,935.84998,1458
2021-05-24,918,920.54999,854.25,887.40002,387
2021-05-25,879.75,892.5,833.84998,838.95001,696
2021-05-26,821.099976,903.21002,821.099976,879.75,331
2021-05-27,889.95001,989.40002,877.20001,976.65002,690
2021-05-28,1004.70001,1007.25,943.5,981.75,409
2021-06-01,999.59998,1020,958.79999,1014.90002,275
2021-06-02,994.5,1014.90002,969,1007.25,242
2021-06-03,1007.25,1012.34998,976.65002,989.40002,186
2021-06-04,1014.90002,1031.72998,994.5,1012.34998,260
2021-06-07,1032.75,1071,1020.25500,1045.5,283
2021-06-08,1060.80005,1078.65002,1022.54999,1058.25,377
2021-06-09,1065.90002,1091.40002,997.049988,1004.70001,685
2021-06-10,1032.75,1086.30005,943.5,979.20001,820
2021-06-11,969,994.5,951.15002,979.20001,145
2021-06-14,1002.15002,1002.15002,953.70001,976.65002,91
2021-06-15,969,969,918,938.40002,112
2021-06-16,948.59998,948.59998,882.29999,925.65002,329
2021-06-17,910.34998,976.65002,887.40002,976.65002,298
2021-06-18,976.65002,976.65002,918,966.45001,305
2021-06-21,956.25,976.65002,897.59998,974.099976,216
2021-06-22,974.099976,989.40002,920.54999,989.40002,165
2021-06-23,989.40002,989.40002,912.90002,915.45001,153
2021-06-24,920.54999,976.65002,920.54999,951.15002,185
2021-06-25,951.15002,974.099976,937.125,951.15002,622
2021-06-28,951.15002,979.20001,935.84998,956.25,279
2021-06-29,961.34998,979.20001,930.75,946.049988,498
2021-06-30,948.59998,948.59998,869.54999,900.15002,285
2021-07-01,895.049988,948.59998,895.049988,930.75,60
2021-07-02,928.96503,938.40002,882.29999,884.84998,100
2021-07-06,884.84998,918,884.84998,905.25,82
2021-07-07,895.049988,953.70001,895.049988,912.90002,287
2021-07-08,900.15002,915.45001,846.59998,869.54999,120
2021-07-09,884.84998,884.84998,852.97498,856.79999,80
2021-07-12,874.65002,874.65002,841.5,854.25,115
2021-07-13,844.049988,874.65002,838.95001,851.70001,40
2021-07-14,849.15002,849.15002,793.049988,803.25,113
2021-07-15,785.40002,905.25,780.29999,844.049988,432
2021-07-16,844.049988,867,826.20001,833.84998,36
2021-07-19,770.099976,831.29999,770.099976,821.099976,184
2021-07-20,810.90002,882.29999,800.70001,836.40002,133
2021-07-21,841.5,849.15002,822.375,833.84998,75
2021-07-22,821.099976,841.5,816,826.20001,48
2021-07-23,828.75,864.45001,798.15002,816,56
2021-07-26,813.45001,863.94000,803.25,838.69501,46
2021-07-27,841.5,841.5,793.049988,818.54999,54
2021-07-28,818.54999,833.84998,800.70001,805.79999,42
2021-07-29,831.29999,841.5,808.34998,841.5,110
2021-07-30,852.46503,852.46503,813.45001,831.29999,49
2021-08-02,814.72498,818.54999,803.25,810.90002,22
2021-08-03,821.099976,841.5,806.82001,813.45001,89
2021-08-04,813.45001,817.27502,801.71997,813.45001,49
2021-08-05,826.20001,826.20001,800.44501,813.45001,48
2021-08-06,813.45001,813.45001,793.049988,793.049988,25
2021-08-09,795.59998,800.70001,777.75,795.59998,54
2021-08-10,782.84998,810.90002,780.29999,810.90002,80
2021-08-11,810.90002,810.90002,785.40002,793.049988,37
2021-08-12,782.84998,808.34998,780.29999,808.34998,27
2021-08-13,787.95001,804.52502,739.5,757.34998,104
2021-08-16,775.20001,789.22498,726.75,772.65002,148
2021-08-17,785.40002,785.40002,731.84998,739.5,225
2021-08-18,729.29999,757.34998,690.53998,714,198
2021-08-19,714,714,637.5,647.70001,204
2021-08-20,698.70001,698.70001,663,683.40002,48
2021-08-23,708.90002,774.43500,708.90002,757.34998,91
2021-08-24,762.45001,762.45001,716.80499,742.049988,22
2021-08-25,752.25,803.25,726.75,759.90002,147
2021-08-26,798.15002,798.15002,731.84998,731.84998,93
2021-08-27,749.70001,765,740.77502,759.90002,46
2021-08-30,759.90002,795.59998,726.75,726.75,39
2021-08-31,749.70001,749.70001,703.79999,719.099976,37
2021-09-01,714,726.75,680.84998,701.25,162
2021-09-02,719.099976,719.099976,687.73499,716.54999,27
2021-09-03,721.65002,739.5,701.25,726.75,119
2021-09-07,731.84998,765,726.75,765,63
